Model,Time Step,Batch Size,Epochs,MSE,R2,MAE,MAPE
LSTM,3,64,100,0.011768024316238555,0.5659302270824691,3283.003531709559,0.061478223740325286
Bi-LSTM,3,64,100,0.00798951586327548,0.7053025008023193,2609.886907169119,0.0451733438925387
GRU,3,64,100,0.009165231789707769,0.6619355998266159,2940.293097426471,0.05425557591857767
CNN,3,64,100,0.03072116277817741,-0.13316626415234278,6111.669034926471,0.10624579247080394
LSTM,5,32,50,0.015378382105224787,0.4178461610115132,3657.481624053031,0.06881405109216217
Bi-LSTM,5,32,50,0.008234239560408306,0.6882900854951479,2637.0960937500004,0.048465091241543
GRU,5,32,50,0.008226217242203432,0.6885937730552956,2771.2746330492437,0.05004038449356854
CNN,5,32,50,0.03412858021989988,-0.2919489097290082,6472.349393939394,0.11469431250181324
LSTM,5,64,50,0.010047788523066125,0.6196375781259791,2884.6279711174243,0.05404205279692672
Bi-LSTM,5,64,50,0.0060804894116964605,0.7698210234517906,2183.8720336174247,0.03990453064818648
GRU,5,64,50,0.009731681798583296,0.6316039047478956,3097.227097537879,0.05285005239428177
CNN,5,64,50,0.030880629858544055,-0.16899665384345974,6192.909289772727,0.10898007040618897
LSTM,5,32,100,0.009936072396608882,0.6238666297550131,2807.498835227273,0.052286249183256715
Bi-LSTM,5,32,100,0.005741547499805978,0.7826517837912741,2059.6605563446974,0.03754539244554147
GRU,5,32,100,0.021414561636395175,0.18934454992846594,4758.951567234848,0.08900973926446663
CNN,5,32,100,0.029200956869971047,-0.1054120666058449,5943.752088068182,0.10453783668576555
LSTM,5,64,100,0.010780414218029125,0.5919037854587119,3088.33893939394,0.05701542299025131
Bi-LSTM,5,64,100,0.007318568698794104,0.7229531146546,2426.613134469697,0.04460372509417413
GRU,5,64,100,0.010069805852232945,0.618804104707837,3160.3447632575762,0.0553357187246302
CNN,5,64,100,0.025402369109569358,0.03838475365271887,5459.718056344697,0.09619232092336176
LSTM Sent,1,32,50,0.006725830386047438,0.8515717146747127,2461.299573622882,0.04662894369218015
Bi-LSTM Sent,1,32,50,0.008390145813357515,0.8148429435138286,2732.138757944915,0.05098878813780314
GRU Sent,1,32,50,0.00978030118910703,0.7841644448133149,2963.691406249999,0.05456459143605306
CNN Sent,1,32,50,0.019717017729048165,0.5648770537951733,4117.525188029661,0.07406411398663584
LSTM Sent,1,64,50,0.007581071117550154,0.8326979239260447,2585.060826271186,0.0486866493875283
Bi-LSTM Sent,1,64,50,0.008185498260328921,0.8193591866613013,2700.424049258474,0.05058356136256817
GRU Sent,1,64,50,0.008969555141951741,0.8020563092681712,2846.4150529661015,0.05292566610699183
CNN Sent,1,64,50,0.013019502513301088,0.7126804687423589,3419.3494147245756,0.06247978310163349
LSTM Sent,2,32,50,0.007237598715380922,0.8429848589823978,2594.201443965517,0.04984487259312309
Bi-LSTM Sent,2,32,50,0.011986331300876587,0.7399640994890688,3317.2415840517237,0.061218849088011076
GRU Sent,2,32,50,0.01081374172049053,0.7654026911491479,3193.0178178879314,0.059061690431237886
CNN Sent,2,32,50,0.027582395872727695,0.4016173115047137,5015.67435614224,0.088874784687085
LSTM Sent,2,64,50,0.008081127837533047,0.8246850264998782,2756.8786072198277,0.052802946416615176
Bi-LSTM Sent,2,64,50,0.007915133794589004,0.8282861626067408,2749.3834752155167,0.051956485218358245
GRU Sent,2,64,50,0.00672705092167204,0.854060871480171,2483.4704175646543,0.047564558899325565
CNN Sent,2,64,50,0.03097901863794498,0.3279297220932136,5206.69192887931,0.0915747340764338
LSTM Sent,3,32,50,0.011306632962205162,0.7564723203088356,3315.08556743421,0.061949445499555125
Bi-LSTM Sent,3,32,50,0.010086975262640989,0.7827418923896823,3071.6849945175436,0.057028912452041274
GRU Sent,3,32,50,0.008004215823443439,0.8276013633991426,2719.762938596491,0.05122145661249261
CNN Sent,3,32,50,0.025659020686531545,0.4473437148065059,5033.466384320174,0.09325200926276456
LSTM Sent,3,64,50,0.014103693715283522,0.6962278852564798,3710.8485855263148,0.06904201510275346
Bi-LSTM Sent,3,64,50,0.010776278816278358,0.7678953420876334,3202.512228618421,0.059647024599500095
GRU Sent,3,64,50,0.010903639594746018,0.7651521846005578,3245.379769736842,0.06042267553828422
CNN Sent,3,64,50,0.03766951328677674,0.18865596889110614,6024.643179824561,0.10796253452638349
LSTM Sent,5,32,50,0.027879070813100013,0.4051331359512651,5300.224170454545,0.09552550772586729
Bi-LSTM Sent,5,32,50,0.019842757431484996,0.5766071628972385,4461.916397727272,0.08264268864205622
GRU Sent,5,32,50,0.016225400715092986,0.6537921473054928,4001.1912926136356,0.0721450754030831
CNN Sent,5,32,50,0.03320705761621069,0.29144775445102455,5825.343653409089,0.10761076212544421
LSTM Sent,5,64,50,0.021702236680426173,0.5369307118061364,4570.521999999999,0.08257200703585155
Bi-LSTM Sent,5,64,50,0.018722639260940584,0.6005075714848397,4321.289124999999,0.07954640786302468
GRU Sent,5,64,50,0.020492586416598648,0.5627415024118505,4534.8849346590905,0.08291820992679402
CNN Sent,5,64,50,0.03232778937742526,0.310209051890614,5609.698857954543,0.10019462296237808
LSTM Sent,1,32,100,0.005847865477441375,0.8709469915521233,2299.938998940678,0.043587188990592246
Bi-LSTM Sent,1,32,100,0.008510623399885462,0.8121841964800692,2718.8770127118637,0.05025620303008818
GRU Sent,1,32,100,0.008746064176587359,0.8069883962924803,2767.745458156779,0.05089868000792472
CNN Sent,1,32,100,0.023597661246841452,0.47923747767686375,4616.406152012712,0.08383242481406991
LSTM Sent,1,64,100,0.005704223434298581,0.8741169409770352,2268.8151006355934,0.04327985056788871
Bi-LSTM Sent,1,64,100,0.008965118407407048,0.80215422088103,2810.9845603813555,0.052101079918578236
GRU Sent,1,64,100,0.006861845941307562,0.8485700696010119,2479.866263241525,0.04639119818122702
CNN Sent,1,64,100,0.020986588249055426,0.53685966938787,4279.287319915254,0.07666345767202327
LSTM Sent,2,32,100,0.00701003537545579,0.8479217021694687,2556.998690732758,0.04871157875102681
Bi-LSTM Sent,2,32,100,0.009401295642637017,0.7960448182986711,2873.2694369612063,0.053319118900268164
GRU Sent,2,32,100,0.006014022202989944,0.8695295799864254,2324.8101346982758,0.04413424475201776
CNN Sent,2,32,100,0.02300248808979067,0.5009755233460595,4548.78690463362,0.08100933590224783
LSTM Sent,2,64,100,0.007870818611976827,0.8292475525539735,2731.5849649784473,0.052049731233695364
Bi-LSTM Sent,2,64,100,0.01473789803592201,0.6802705939615575,3718.641457435344,0.06819945383082794
GRU Sent,2,64,100,0.0054288841235623385,0.8822237817056844,2174.74416487069,0.04178730666162534
CNN Sent,2,64,100,0.030372964777330105,0.34107767849848913,5121.132128232757,0.09021667000498178
